"Name","points_per_game_ppg","position","goals_g","assists_a","country","games_played_gp","height","weight","penalties_in_minutes_pim","plus_minus_goal_differential","shots_on_goal_sog","age","shoot","total_minutes_as_duration","points"
"Annie Silén",0,"D",0,0,"Sweden",7,171,73,9,0,2,21,"L","1:50:30",0
"Sarah Knee",0,"D",0,0,"Hungary",4,186,85,0,-3,3,27,"L","0:19:47",0
"Lore Baudrit",0.5,"F",1,1,"France",4,190,83,0,-10,12,31,"R","1:23:00",2
"Abby Roque",1.286,"F",3,6,"US",7,170,82,2,10,13,25,"R","1:43:28",9
"Alena Mills",0.333,"F",1,1,"Czech Republic",6,173,82,2,-2,11,32,"L","0:57:39",2
"Vendula Pribylova",0.143,"F",0,1,"Czech Republic",7,171,82,2,-5,8,27,"L","1:47:47",1
"Ella Shelton",0.143,"D",0,1,"Canada",7,173,80,0,4,13,25,"L","1:25:50",1
"Rosa Lindstedt",0.429,"D",2,1,"Finland",7,187,80,4,5,9,35,"L","1:50:04",3
"Lina Ljungblom",1.429,"F",7,3,"Sweden",7,167,79,6,6,26,21,"L","2:04:42",10
"Kaleigh Quennec",0.286,"F",0,2,"Switzerland",7,172,79,2,-5,2,25,"R","1:35:14",2
"Hilary Knight",1.714,"F",8,4,"US",7,180,78,6,7,42,33,"L","2:06:28",12
"Louanne Mermier",0,"D",0,0,"France",4,174,78,0,-2,1,22,"R","0:19:49",0
"Fruzsina Mayer",0.667,"D",0,2,"Hungary",3,168,78,0,0,0,23,"L","0:30:18",2
"Lee Stecklein",0.143,"D",0,1,"US",7,183,77,0,6,16,28,"L","1:36:44",1
"Natalie Spooner",0.857,"F",2,4,"Canada",7,178,77,4,7,10,32,"R","1:22:07",6
"Megan Keller",0.286,"D",2,0,"US",7,180,75,0,6,11,26,"L","2:14:45",2
"Kelly Pannek",0.143,"F",0,1,"US",7,173,75,27,0,10,27,"R","1:11:41",1
"Sara Hjalmarsson",0.286,"F",0,2,"Sweden",7,176,74,2,-2,16,25,"L","2:11:21",2
"Andrea Trnkova",0,"D",0,0,"Czech Republic",7,176,74,2,-3,5,19,"L","1:20:59",0
"Olivia Carlsson",0,"F",0,0,"Sweden",7,174,74,2,0,4,28,"L","1:19:22",0
"Franciska Kiss-Simon",0.75,"D",0,3,"Hungary",4,180,74,0,0,4,27,"L","1:21:43",3
"Marie-Philip Poulin",1.143,"F",4,4,"Canada",7,170,73,8,3,28,32,"L","2:08:15",8
"Tabea Botthof",0.167,"D",0,1,"Germany",6,175,73,6,2,15,22,"R","1:34:38",1
"Hayley Scamurra",0.286,"F",1,1,"US",7,173,73,6,5,14,28,"L","1:19:25",2
"Laura Zimmermann",0,"F",0,0,"Switzerland",7,163,73,4,-2,13,20,"L","1:38:20",0
"Emma Kreisz",0,"F",0,0,"Hungary",4,175,73,0,-2,11,19,"L","1:21:59",0
"Regina Metzler",0.5,"F",1,1,"Hungary",4,178,73,0,-1,5,17,"L","1:10:22",2
"Rory Guilday",0.143,"D",0,1,"US",7,178,73,4,0,4,20,"L","1:59:06",1
"Josefine Holmgren",0.143,"D",0,1,"Sweden",7,175,73,8,1,3,29,"L","2:08:11",1
"Janine Hauser",0,"D",0,0,"Switzerland",7,170,73,0,-3,1,21,"L","1:53:35",0
"Karolina Kosinova",0,"D",0,0,"Czech Republic",3,172,73,0,1,0,24,"L","0:04:59",0
"Imola Horvath",0,"F",0,0,"Hungary",4,168,73,0,0,0,20,"L","0:26:27",0
